id,cost,latitude,longitude,name,description,photo_url,r1/name,r1/latitude,r1/longitude,r1/price_range,r1/user_rating,r1/photos_url,r1/cuisines,r1/has_online_delivery,r2/name,r2/latitude,r2/longitude,r2/price_range,r2/user_rating,r2/photos_url,r2/cuisines,r2/has_online_delivery,r3/name,r3/latitude,r3/longitude,r3/price_range,r3/user_rating,r3/photos_url,r3/cuisines,r3/has_online_delivery,r4/name,r4/latitude,r4/longitude,r4/price_range,r4/user_rating,r4/photos_url,r4/cuisines,r4/has_online_delivery
1,1931,47.6805,-122.12094,Redmond,,,Zoëyogurt,47.6815902,-122.1231041,1,3.2,https://www.zomato.com/redmond-wa/zoëyogurt-1-redmond/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Frozen Yogurt,0,MOD Pizza,47.6815902,-122.1231041,2,3.4,https://www.zomato.com/redmond-wa/mod-pizza-redmond/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Pizza,0,Tom-bo Teriyaki,47.68005,-122.1239306,1,3.6,https://www.zomato.com/redmond-wa/tom-bo-teriyaki-redmond/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Teriyaki, Japanese, Asian",0,JJ Mahoney's Irish Pub,47.6818896,-122.123376,2,3.9,https://www.zomato.com/redmond-wa/jj-mahoneys-irish-pub-redmond/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Bar Food, Irish",0
2,1557,47.84472,-122.19849,Bothell,,,Mi Rancho Taqueria,47.83551111,-122.2099694,2,0,https://www.zomato.com/mill-creek-wa/mi-rancho-taqueria-mill-creek/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Mexican,0,Silver Dollar Restaurant & Lounge,47.8353407,-122.2098084,3,0,https://www.zomato.com/mill-creek-wa/silver-dollar-mill-creek/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Pub Food,0,Larry's Smokehouse,47.83775833,-122.2132111,2,3.5,https://www.zomato.com/mill-creek-wa/larrys-smokehouse-mill-creek/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"BBQ, Seafood",0,Oceano Sushi Asian Fusion,47.83523056,-122.2103111,2,0,https://www.zomato.com/mill-creek-wa/oceano-sushi-asian-fusion-mill-creek/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Sushi, Japanese",0
3,1700,47.67029,-122.34831,Seattle,,,Tangerine Thai,47.6722666,-122.3541549,1,3.8,https://www.zomato.com/seattle/tangerine-thai-greenwood-phinney/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0,Phinney Market,47.6723527,-122.3541343,2,3.6,https://www.zomato.com/seattle/phinney-market-greenwood-phinney/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bar Food,0,Zeeks Pizza,47.67257,-122.35429,2,3.6,https://www.zomato.com/seattle/zeeks-pizza-greenwood-phinney/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Pizza,0,Chef Liao,47.6729301,-122.3540749,2,4.2,https://www.zomato.com/seattle/chef-liao-greenwood-phinney/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Chinese, Thai, Asian",0
4,1747,47.68361,-122.27802,Seattle,,,Thai of Wedgwood,47.68375,-122.2906417,1,3.6,https://www.zomato.com/seattle/thai-of-wedgwood-wedgwood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0,Veraci Pizza,47.681796,-122.290367,1,0,https://www.zomato.com/seattle/veraci-pizza-wedgwood/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Pizza,0,Subway,47.6828015,-122.2909441,1,3.1,https://www.zomato.com/seattle/subway-1-ravenna/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Sandwich",0,Starbucks,47.6814011,-122.2907528,1,3.1,https://www.zomato.com/seattle/starbucks-ravenna/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0
5,1425,47.73957,-122.34495,Shoreline,,,Broiler Bay,47.73993333,-122.344825,1,3.4,https://www.zomato.com/shoreline-wa/broiler-bay-shoreline/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"American, Burger",0,Le's Pho Tai & Sandwiches,47.7392,-122.34514,2,3.3,https://www.zomato.com/shoreline-wa/les-pho-tai-sandwiches-shoreline/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Teriyaki, Vietnamese, Asian",0,Taqueria El Sabor,47.73981111,-122.3455722,2,3.5,https://www.zomato.com/shoreline-wa/taqueria-el-sabor-shoreline/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Mexican,0,Pho Ha,47.73919167,-122.3454806,1,3.2,https://www.zomato.com/shoreline-wa/pho-ha-shoreline/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Vietnamese,0
6,2040,47.6087583,-122.2964235,Seattle,,,Assimba,47.60811667,-122.2966528,1,3.7,https://www.zomato.com/seattle/assimba-central-district/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Ethiopian, Vegetarian",0,Lotus Thai Cuisine,47.60807778,-122.296525,2,3.6,https://www.zomato.com/seattle/lotus-thai-cuisine-central-district/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0,Agelgil Ethiopian Restaurant,47.6081759,-122.295864,2,0,https://www.zomato.com/seattle/agelgil-ethiopian-restaurant-madrona-leschi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Ethiopian, African",0,Ras-Dashen,47.60794722,-122.2958528,2,3.6,https://www.zomato.com/seattle/ras-dashen-central-district/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Ethiopian, Vegetarian, African",0
7,1238,47.8962246,-122.1853637,Seattle Hill-Silver Firs,,,China Dumpling & Noodle House,47.89401667,-122.2016611,1,0,https://www.zomato.com/everett-wa/china-dumpling-noodle-house-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Chinese, Asian",0,Amante Pizza & Pasta,47.89403611,-122.2017833,2,3.3,https://www.zomato.com/everett-wa/amante-pizza-pasta-1-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Pizza, Italian",0,Sushi Ring,47.89395556,-122.2021167,2,3.9,https://www.zomato.com/everett-wa/sushi-ring-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Sushi, Japanese",0,L'Artisan French Bakery Cafe,47.89385278,-122.2022778,1,3.7,https://www.zomato.com/everett-wa/lartisan-french-bakery-cafe-everett/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Coffee and Tea, French, Bakery",0
8,1507,47.7148126,-122.2031264,Kirkland,,,Gourmet Latte,47.7197629,-122.2077249,1,0,https://www.zomato.com/kirkland-wa/gourmet-latte-kirkland/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Coffee and Tea,0,Starbucks,47.7200696,-122.2083112,1,0,https://www.zomato.com/kirkland-wa/starbucks-7-kirkland/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cafe,0,Domino's Pizza,47.72087626,-122.2084084,2,0,https://www.zomato.com/kirkland-wa/dominos-pizza-2-kirkland/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Pizza, Fast Food",0,Subway,47.721173,-122.2083871,1,3.2,https://www.zomato.com/kirkland-wa/subway-2-kirkland/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Fast Food, Sandwich",0
9,995,48.7562157,-122.4894588,Bellingham,,,Primer Coffee,48.757603,-122.490613,1,0,https://www.zomato.com/bellingham-wa/primer-coffee-bellingham/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Cafe, Coffee and Tea",0,Wanida Thai Cuisine,48.75892924,-122.4872289,1,2.9,https://www.zomato.com/bellingham-wa/wanida-thai-cuisine-bellingham/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thai,0,Lettered Streets Coffee House,48.75725,-122.484691,1,3.9,https://www.zomato.com/bellingham-wa/lettered-streets-coffee-house-bellingham/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Coffee and Tea,0,StrEAT Food,48.7595529,-122.4882249,1,4.5,https://www.zomato.com/bellingham-wa/streat-food-bellingham/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"American, International, Vegetarian",0
10,2500,47.6288591,-122.3456919,Seattle,,,Laredos Grill,47.62713889,-122.3461,2,3.6,https://www.zomato.com/seattle/laredos-grill-queen-anne-lower/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Mexican,0,Crow,47.62704722,-122.3477167,2,4.2,https://www.zomato.com/seattle/crow-queen-anne-lower/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Italian, International",0,Koibito Sushi & Teriyaki,47.6298388,-122.3425818,2,2.9,https://www.zomato.com/seattle/koibito-sushi-teriyaki-westlake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Sushi, Teriyaki, Japanese",0,The Nabob,47.62690278,-122.3476111,2,3.5,https://www.zomato.com/seattle/the-nabob-queen-anne-lower/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bar Food,0
